custId,gender,SeniorCitizen,Married,Children,TVConnection,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Internet,HighSpeed,AddedServices,Subscription,tenure,PaymentMethod,MonthlyCharges,TotalCharges,Satisfied
888,Male,0,No,No,Cable,Yes,No,No,No,No,No,Yes,No,Yes,Monthly,1,Cash,80.85,80.85,0
4093,Male,1,No,No,Cable,No,Yes,No,No,No,Yes,Yes,No,Yes,Monthly,6,Bank transfer,85.15,503.6,0
4966,Male,1,No,No,Cable,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Monthly,9,Net Banking,100.5,918.6,0
4788,Male,0,No,No,Cable,No,Yes,No,No,No,No,Yes,No,Yes,Monthly,5,Cash,80.1,398.55,1
1531,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,16,Credit card,18.95,326.8,1
3063,Male,0,Yes,No,DTH,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Biannually,70,Credit card,76.95,5289.8,1
6889,Male,0,Yes,Yes,DTH,No,Yes,Yes,No,Yes,No,No,No internet,Yes,Monthly,34,Net Banking,44.85,1442.6,1
875,Female,1,No,No,Cable,Yes,No,No,No,No,No,Yes,Yes,Yes,Monthly,9,Net Banking,84.45,762.5,0
1048,Female,0,Yes,No,DTH,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Biannually,64,Credit card,85.0,5484.4,1
1084,Male,0,No,No,DTH,No,No,No,No,No,No,Yes,Yes,No,Monthly,5,Net Banking,47.15,223.15,0
4491,Female,0,No,No,DTH,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Biannually,46,Cash,79.2,3593.8,1
4359,Male,0,Yes,No,Cable,No,No,No,No,No,No,Yes,No,Yes,Monthly,15,Bank transfer,68.6,1108.6,1
3409,Male,0,No,No,DTH,Yes,No,Yes,No,No,Yes,Yes,No,No,Monthly,20,Credit card,64.4,1398.6,1
1033,Male,0,Yes,No,DTH,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Biannually,66,Net Banking,85.25,5538.35,1
2532,Female,0,Yes,Yes,DTH,No,No,No,No,No,No,No,No internet,Yes,Monthly,2,Cash,24.4,36.55,0
1579,Male,0,No,No,DTH,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Annually,60,Cash,79.0,4801.1,1
5665,Female,0,No,No,Cable,Yes,No,Yes,No,No,No,Yes,No,No,Monthly,6,Net Banking,83.9,497.55,0
4490,Male,1,Yes,No,DTH,Yes,No,Yes,Yes,No,No,No,No internet,Yes,Monthly,58,Net Banking,45.3,2651.2,0
6905,Female,0,No,No,DTH,No,No,No,Yes,No,No,Yes,Yes,Yes,Annually,29,Net Banking,55.25,1620.2,1
1719,Male,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Annually,42,Cash,20.25,854.9,1
6839,Female,0,No,No,DTH,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Monthly,13,Bank transfer,67.8,842.25,1
2578,Female,0,Yes,Yes,DTH,Yes,No,No,No,No,No,No,No internet,Yes,Monthly,16,Credit card,35.5,552.7,1
4934,Male,1,Yes,No,Cable,No,No,No,No,No,No,Yes,No,No,Monthly,34,Credit card,71.55,2427.35,1
6964,Male,1,Yes,No,Cable,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Monthly,17,Net Banking,94.8,1563.9,1
998,Female,0,No,No,DTH,Yes,No,No,No,No,No,Yes,No,Yes,Monthly,19,Net Banking,56.2,1093.4,1
6663,Female,0,Yes,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Annually,67,Net Banking,109.4,7281.6,1
5824,Male,0,No,No,DTH,No,No,No,No,No,No,Yes,No,Yes,Monthly,12,Bank transfer,45.4,518.9,0
579,Female,0,No,No,Cable,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Monthly,45,Net Banking,87.25,3941.7,0
3035,Female,0,Yes,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,Yes,Biannually,71,Bank transfer,20.9,1493.2,1
4525,Male,1,Yes,No,Cable,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Monthly,35,Net Banking,100.8,3437.5,1
2112,Female,0,Yes,No,Cable,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Monthly,44,Net Banking,96.1,4364.1,0
2861,Male,1,No,No,Cable,No,Yes,No,No,No,No,Yes,Yes,Yes,Monthly,7,Net Banking,84.8,546.95,0
3654,Male,0,No,No,Cable,Yes,No,No,No,No,No,Yes,No,Yes,Monthly,1,Net Banking,80.8,80.8,0
6553,Male,0,No,No,Cable,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Annually,48,Credit card,106.1,5082.8,0
310,Male,0,Yes,Yes,Cable,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Monthly,4,Net Banking,101.15,385.9,0
3531,Male,0,Yes,Yes,DTH,No,No,Yes,No,No,No,Yes,Yes,No,Annually,50,Bank transfer,54.9,2614.1,1
4389,Female,0,Yes,Yes,Cable,No,No,No,Yes,No,No,Yes,Yes,Yes,Monthly,16,Credit card,79.95,1267.95,1
6234,Female,0,No,Yes,DTH,No,No,No,No,Yes,No,Yes,No,No,Monthly,19,Cash,48.8,953.65,1
4980,Male,0,Yes,Yes,DTH,No,No,No,No,No,No,Yes,Yes,Yes,Annually,23,Credit card,48.35,1067.15,0
1903,Male,0,No,No,DTH,No,No,No,No,Yes,Yes,Yes,Yes,No,Monthly,20,Bank transfer,59.2,1191.2,1
2210,Female,0,No,No,DTH,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Monthly,5,Net Banking,64.0,370.25,1
1013,Male,0,Yes,Yes,Cable,No,No,No,No,No,No,Yes,No,Yes,Monthly,20,Net Banking,70.45,1470.95,0
2054,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Monthly,1,Bank transfer,19.65,19.65,1
1398,Male,0,No,No,DTH,No,No,No,Yes,No,Yes,Yes,Yes,No,Monthly,22,Net Banking,59.0,1254.7,0
2764,Male,0,Yes,Yes,DTH,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Biannually,67,Cash,67.85,4627.65,1
3109,Female,0,Yes,Yes,DTH,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Biannually,72,Credit card,70.65,5011.15,1
270,Male,0,No,No,Cable,No,No,No,No,No,No,Yes,No,No,Monthly,8,Bank transfer,70.7,553.4,1
6577,Male,0,Yes,No,Cable,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Biannually,72,Bank transfer,106.3,7565.35,1
